,area_type,total_sqft,bath,price,location,bhk
10500,Super built-up  Area,1450,3,62.4,Vadgaon Budruk,3
10501,Super built-up  Area,1243,2,46,Vadgaon Budruk,2
10502,Plot  Area,3600,6,303,Vadgaon Budruk,6
10503,Super built-up  Area,1260,2,59.2,Vadgaon Budruk,2
10504,Super built-up  Area,1115,2,50,Vadgaon Budruk,2
10505,Built-up  Area,1200,2,80,Vadgaon Budruk,2
10506,Super built-up  Area,1480,2,80,Vadgaon Budruk,2
10507,Super built-up  Area,720,1,60,Vadgaon Budruk,1
10508,Super built-up  Area,1160,2,40.6,Vadgaon Budruk,2
10509,Super built-up  Area,946,2,45,Vadgaon Budruk,2
10510,Super built-up  Area,1230,3,60,Vadgaon Budruk,3
10511,Super built-up  Area,1685,3,135,Vadgaon Budruk,3
10512,Built-up  Area,1190,2,55,Vadgaon Budruk,2
10513,Super built-up  Area,1350,3,75,Vadgaon Budruk,3
10514,Super built-up  Area,1185,2,51.15,Vadgaon Budruk,2
10515,Built-up  Area,1492,3,88,Vadgaon Budruk,3
10516,Built-up  Area,1150,3,46,Vadgaon Budruk,3
10517,Built-up  Area,845,2,30,Vadgaon Budruk,2
10518,Super built-up  Area,1745,2,98.485,Vadgaon Budruk,3
10519,Super built-up  Area,1410,2,53.58,Vadgaon Budruk,3
10520,Carpet  Area,1450,3,68,Vadgaon Budruk,3
10521,Super built-up  Area,1000,2,50,Vadgaon Budruk,2
10522,Super built-up  Area,1040,2,33.28,Vadgaon Budruk,2
10523,Super built-up  Area,1390,2,60.47,Vadgaon Budruk,3
10524,Super built-up  Area,1420,3,68,Vadgaon Budruk,3
10525,Super built-up  Area,1156,2,46,Vadgaon Budruk,2
10526,Super built-up  Area,1837,3,142,Vadgaon Budruk,3
10527,Super built-up  Area,3900,6,260,Vadgaon Budruk,6
10528,Super built-up  Area,1730,3,72.6,Vadgaon Budruk,3
10529,Super built-up  Area,1430,2,87.8,Vadgaon Budruk,2
10530,Built-up  Area,1603,2,125,Vadgaon Budruk,3
10531,Super built-up  Area,1215,2,50,Vadgaon Budruk,3
10532,Built-up  Area,1430,3,70,Vadgaon Budruk,3
10533,Super built-up  Area,1200,2,40.5,Vadgaon Budruk,2
10534,Super built-up  Area,1195,2,59,Vadgaon Budruk,2
10535,Built-up  Area,4000,6,230,Vadgaon Budruk,6
10536,Built-up  Area,1103,2,55,Vadgaon Budruk,2
10537,Super built-up  Area,840,1,57,Vadgaon Budruk,1
10538,Super built-up  Area,581,1,29,Vadgaon Budruk,1
10539,Built-up  Area,1940,4,116,Vadgaon Budruk,3
10540,Super built-up  Area,1335,2,95,Vadgaon Budruk,2
10541,Super built-up  Area,3019,6,190,Vadgaon Budruk,4
10542,Plot  Area,1200,11,105,Vadgaon Budruk,10
10543,Super built-up  Area,1140,2,46,Vadgaon Budruk,2
10544,Super built-up  Area,1166,2,64.08,Vadgaon Budruk,2
10545,Built-up  Area,1200,2,46,Vadgaon Budruk,2
10546,Built-up  Area,1700,3,74,Vadgaon Budruk,3
10547,Super built-up  Area,1206,2,55,Vadgaon Budruk,2
10548,Super built-up  Area,1100,2,38,Vadgaon Budruk,2
10549,Super built-up  Area,1420,2,99.26,Vadgaon Budruk,2
10550,Super built-up  Area,1830.5,3,84.205,Vadgaon Budruk,3
10551,Super built-up  Area,2858,4,137,Vadgaon Budruk,4
10552,Super built-up  Area,1342,2,90,Vadgaon Budruk,2
10553,Super built-up  Area,884,2,48,Vadgaon Budruk,2
10554,Built-up  Area,1442,3,80,Vadgaon Budruk,3
10555,Super built-up  Area,1145,2,44,Vadgaon Budruk,2
10556,Super built-up  Area,1088,2,46,Vadgaon Budruk,2
10557,Super built-up  Area,1162,2,48,Vadgaon Budruk,2
10558,Super built-up  Area,1984,4,148,Vadgaon Budruk,3
10559,Super built-up  Area,1760,3,139,Vadgaon Budruk,3
10560,Super built-up  Area,1075,2,52.57,Vadgaon Budruk,1
10561,Built-up  Area,1420,2,100,Viman Nagar,3
10562,Super built-up  Area,451,1,29.9,Viman Nagar,1
10563,Super built-up  Area,1130,2,42.16,Viman Nagar,2
10564,Built-up  Area,1160,2,55,Viman Nagar,2
10565,Built-up  Area,1702,3,130,Viman Nagar,3
10566,Super built-up  Area,1101,2,45,Viman Nagar,2
10567,Plot  Area,3206,5,270,Viman Nagar,4
10568,Super built-up  Area,1050,2,55.5,Viman Nagar,2
10569,Super built-up  Area,1590,3,49,Viman Nagar,3
10570,Super built-up  Area,1408,2,85,Viman Nagar,2
10571,Built-up  Area,1132,2,67,Viman Nagar,2
10572,Super built-up  Area,1156,2,46,Viman Nagar,2
10573,Built-up  Area,1070,2,42,Viman Nagar,2
10574,Built-up  Area,2400,3,160,Viman Nagar,3
10575,Built-up  Area,882,2,30,Viman Nagar,2
10576,Super built-up  Area,1035,2,41.73,Viman Nagar,2
10577,Built-up  Area,955,2,53.55,Viman Nagar,2
10578,Super built-up  Area,1875,3,167,Viman Nagar,3
10579,Super built-up  Area,1525,3,65,Viman Nagar,3
10580,Super built-up  Area,1240,2,84,Viman Nagar,3
10581,Super built-up  Area,1752.12,3,116,Viman Nagar,3
10582,Super built-up  Area,1058,2,48,Viman Nagar,2
10583,Super built-up  Area,1035,2,39.33,Viman Nagar,2
10584,Plot  Area,600,5,50,Viman Nagar,5
10585,Super built-up  Area,1626,2,120,Viman Nagar,3
10586,Super built-up  Area,1092,2,44,Viman Nagar,2
10587,Super built-up  Area,933,2,43,Viman Nagar,2
10588,Super built-up  Area,1665,3,70,Viman Nagar,3
10589,Plot  Area,1200,2,66,Viman Nagar,2
10590,Super built-up  Area,5965,5,385,Viman Nagar,5
10591,Super built-up  Area,1033,2,31.5,Viman Nagar,3
10592,Super built-up  Area,1301,2,55,Viman Nagar,2
10593,Carpet  Area,1203,2,59.86,Viman Nagar,2
10594,Super built-up  Area,1583,3,74.4,Viman Nagar,3
10595,Super built-up  Area,1750,3,150,Viman Nagar,3
10596,Super built-up  Area,1890,3,162,Viman Nagar,3
10597,Super built-up  Area,1137.5,2,48.905,Viman Nagar,2
10598,Super built-up  Area,2020,3,85,Viman Nagar,3
10599,Built-up  Area,4500,5,400,Viman Nagar,4
10600,Super built-up  Area,1140,2,55.5,Viman Nagar,2
10601,Super built-up  Area,1305,2,60,Viman Nagar,3
10602,Built-up  Area,640,1,20.5,Viman Nagar,1
10603,Super built-up  Area,2422,3,150,Viman Nagar,4
10604,Super built-up  Area,1749,3,117,Viman Nagar,3
10605,Super built-up  Area,1610,3,84.53,Viman Nagar,3
10606,Super built-up  Area,1100,2,85,Viman Nagar,2
10607,Plot  Area,1200,3,96.25,Viman Nagar,3
10608,Super built-up  Area,1800,3,88,Viman Nagar,3
10609,Super built-up  Area,1185,2,40.17,Viman Nagar,2
10610,Super built-up  Area,1200,2,69,Viman Nagar,3
10611,Super built-up  Area,975,2,28.275,Viman Nagar,2
10612,Super built-up  Area,1312,2,69,Viman Nagar,2
10613,Super built-up  Area,1027,2,44,Viman Nagar,2
10614,Super built-up  Area,1347,2,37.72,Viman Nagar,3
10615,Super built-up  Area,865,2,35.11,Viman Nagar,2
10616,Super built-up  Area,1680,3,105,Viman Nagar,3
10617,Super built-up  Area,2990,5,210,Viman Nagar,3
10618,Super built-up  Area,1580,3,71.89,Viman Nagar,3
10619,Super built-up  Area,1539,3,85,Viman Nagar,3
10620,Built-up  Area,480,1,25,Viman Nagar,1
10621,Built-up  Area,1107,2,40,Viman Nagar,2
10622,Plot  Area,1200,2,76,Viman Nagar,2
10623,Super built-up  Area,1200,2,62.5,Viman Nagar,2
10624,Super built-up  Area,1711,3,110,Viman Nagar,3
10625,Built-up  Area,1310,2,37.83,Viman Nagar,3
10626,Super built-up  Area,1100,2,38,Viman Nagar,2
10627,Super built-up  Area,2075,3,175,Viman Nagar,3
10628,Super built-up  Area,1250,2,50,Viman Nagar,3
10629,Super built-up  Area,1859,3,121,Viman Nagar,3
10630,Super built-up  Area,1610,3,80.48,Viman Nagar,3
10631,Super built-up  Area,1010,2,55,Viman Nagar,2
10632,Super built-up  Area,1847,3,123,Viman Nagar,3
10633,Super built-up  Area,2439,4,185,Viman Nagar,4
10634,Super built-up  Area,1150,2,40.25,Viman Nagar,3
10635,Super built-up  Area,1550,3,65.1,Viman Nagar,3
10636,Super built-up  Area,1020,2,48,Viman Nagar,2
10637,Super built-up  Area,2736,4,130,Viman Nagar,4
10638,Super built-up  Area,1530,2,74.4,Viman Nagar,3
10639,Super built-up  Area,1251,2,53,Viman Nagar,2
10640,Super built-up  Area,1293,2,80,Viman Nagar,3
10641,Super built-up  Area,1720,2,130,Viman Nagar,3
10642,Super built-up  Area,1550,2,98,Viman Nagar,3
10643,Super built-up  Area,1077,2,34.46,Viman Nagar,2
10644,Super built-up  Area,1104,2,34.22,Viman Nagar,2
10645,Super built-up  Area,940,2,48,Viman Nagar,2
10646,Super built-up  Area,1224,2,48.95,Viman Nagar,3
10647,Built-up  Area,1300,2,58,Viman Nagar,3
10648,Plot  Area,1200,1,70,Viman Nagar,2
10649,Super built-up  Area,1275,2,49.5,Viman Nagar,2
10650,Super built-up  Area,1293,2,80,Viman Nagar,2
10651,Super built-up  Area,1884,4,118,Viman Nagar,3
10652,Super built-up  Area,3520,5,320,Viman Nagar,3
10653,Super built-up  Area,970,2,36,Viman Nagar,2
10654,Super built-up  Area,4550,2,240,Viman Nagar,4
10655,Super built-up  Area,1732,3,112,Viman Nagar,3
10656,Super built-up  Area,1125,2,55,Viman Nagar,2
10657,Super built-up  Area,1035,2,52.79,Viman Nagar,2
10658,Super built-up  Area,1255,3,77.68,Viman Nagar,3
10659,Plot  Area,900,3,75,Viman Nagar,3
10660,Super built-up  Area,1204,2,58,Viman Nagar,2
10661,Built-up  Area,3453,4,247,Viman Nagar,4
10662,Super built-up  Area,1588,2,90,Viman Nagar,3
10663,Super built-up  Area,1460,2,90,Viman Nagar,3
10664,Super built-up  Area,1309,2,82,Viman Nagar,2
10665,Super built-up  Area,1329,2,107,Viman Nagar,2
10666,Super built-up  Area,750,1,47,Viman Nagar,1
10667,Built-up  Area,1125,2,32.63,Viman Nagar,2
10668,Super built-up  Area,1169,2,64.08,Viman Nagar,2
10669,Built-up  Area,1610,2,119,Viman Nagar,3
10670,Super built-up  Area,663,1,32.82,Viman Nagar,1
10671,Built-up  Area,1820,3,95.5,Viman Nagar,3
10672,Super built-up  Area,1231,2,84.5,Viman Nagar,2
10673,Super built-up  Area,1738,3,110,Viman Nagar,3
10674,Super built-up  Area,497,1,20,Viman Nagar,2
10675,Built-up  Area,1065,2,30.75,Viman Nagar,2
10676,Super built-up  Area,1200,2,42,Viman Nagar,2
10677,Super built-up  Area,540,1,22.5,Viman Nagar,1
10678,Super built-up  Area,2259,3,112,Viman Nagar,4
10679,Super built-up  Area,1800,5,65,Viman Nagar,7
10680,Super built-up  Area,1500,2,55,Viman Nagar,3
10681,Built-up  Area,1000,2,70,Vishrant Wadi,2
10682,Super built-up  Area,1340,2,55.7,Vishrant Wadi,2
10683,Super built-up  Area,1800,3,95,Vishrant Wadi,3
10684,Built-up  Area,4144,4,315,Vishrant Wadi,4
10685,Super built-up  Area,775,2,55,Vishrant Wadi,2
10686,Super built-up  Area,1567,2,92,Vishrant Wadi,2
10687,Super built-up  Area,1540,3,50,Vishrant Wadi,3
10688,Super built-up  Area,3235,3,235,Vishrant Wadi,3
10689,Built-up  Area,1150,2,49,Vishrant Wadi,2
10690,Super built-up  Area,1262,2,63,Vishrant Wadi,2
10691,Super built-up  Area,1100,2,62.7,Vishrant Wadi,2
10692,Super built-up  Area,1012,2,66.5,Vishrant Wadi,2
10693,Super built-up  Area,1469,3,89,Vishrant Wadi,3
10694,Super built-up  Area,845,2,37,Vishrant Wadi,2
10695,Super built-up  Area,1188,2,38,Vishrant Wadi,3
10696,Super built-up  Area,1360,2,54.39,Vishrant Wadi,3
10697,Super built-up  Area,2900,4,240,Vishrant Wadi,3
10698,Built-up  Area,1320,2,38.12,Vishrant Wadi,3
10699,Super built-up  Area,1060,2,48,Vishrant Wadi,2
10700,Super built-up  Area,1245,2,68,Vishrant Wadi,3
10701,Super built-up  Area,957,2,46.9,Vishrant Wadi,2
10702,Super built-up  Area,1220,2,60,Vishrant Wadi,2
10703,Super built-up  Area,700,1,30.09,Vishrant Wadi,1
10704,Super built-up  Area,1021,2,48,Vishrant Wadi,2
10705,Built-up  Area,1200,1,53,Vishrant Wadi,2
10706,Super built-up  Area,1035,2,35.77,Vishrant Wadi,2
10707,Super built-up  Area,1194,2,47,Vishrant Wadi,2
10708,Plot  Area,461.82,1,31.7,Vishrant Wadi,1
10709,Plot  Area,4051,4,345,Vishrant Wadi,4
10710,Super built-up  Area,1127,2,50,Vishrant Wadi,2
10711,Super built-up  Area,1141,2,46,Vishrant Wadi,2
10712,Built-up  Area,3300,3,250,Vishrant Wadi,5
10713,Super built-up  Area,1400,2,48,Vishrant Wadi,3
10714,Super built-up  Area,650,1,30,Vishrant Wadi,1
10715,Super built-up  Area,1357,2,54,Vishrant Wadi,2
10716,Super built-up  Area,1488,2,60,Vishrant Wadi,3
10717,Super built-up  Area,1215,2,45.5,Vishrant Wadi,2
10718,Super built-up  Area,1430,2,51.6,Vishrant Wadi,3
10719,Super built-up  Area,1059,2,34.5,Vishrant Wadi,2
10720,Plot  Area,1200,1,36,Vishrant Wadi,2
10721,Built-up  Area,1220,2,68,Vishrant Wadi,2
10722,Super built-up  Area,1207,2,62,Vishrant Wadi,2
10723,Super built-up  Area,1005,2,43,Vishrant Wadi,2
10724,Super built-up  Area,1310,2,52.4,Vishrant Wadi,3
10725,Super built-up  Area,1145,2,100,Vishrant Wadi,2
10726,Super built-up  Area,2493,3,115,Vishrant Wadi,3
10727,Super built-up  Area,1160,2,55,Vishrant Wadi,2
10728,Super built-up  Area,680,1,32.64,Vishrant Wadi,1
10729,Super built-up  Area,1345,2,47,Vishrant Wadi,3
10730,Super built-up  Area,1255,2,77,Vishrant Wadi,2
10731,Super built-up  Area,2250,3,113,Vishrant Wadi,3
10732,Super built-up  Area,1475,2,55,Vishrant Wadi,2
10733,Super built-up  Area,1449,3,90,Vishrant Wadi,3
10734,Super built-up  Area,1050,2,41,Vishrant Wadi,2
10735,Super built-up  Area,1330,2,55,Vishrant Wadi,3
10736,Super built-up  Area,1850,2,88,Vishrant Wadi,3
10737,Super built-up  Area,1146,2,50,Vishrant Wadi,2
10738,Super built-up  Area,1185,2,44,Vishrant Wadi,2
10739,Super built-up  Area,1800,3,90,Vishrant Wadi,3
10740,Super built-up  Area,1550,3,59,Vishrant Wadi,3
10741,Super built-up  Area,1435,3,53,Vishrant Wadi,3
10742,Built-up  Area,1158,2,75,Vishrant Wadi,2
10743,Super built-up  Area,1200,1,54,Vishrant Wadi,2
10744,Plot  Area,1200,5,80,Vishrant Wadi,7
10745,Super built-up  Area,1150,2,60,Vishrant Wadi,2
10746,Super built-up  Area,2122,3,125,Vishrant Wadi,3
10747,Built-up  Area,1133,2,55,Vishrant Wadi,2
10748,Super built-up  Area,920,2,60,Vishrant Wadi,2
10749,Super built-up  Area,947.55,2,80,Vishrant Wadi,2
10750,Super built-up  Area,1010,2,48.27,Vishrant Wadi,2
10751,Super built-up  Area,1190,2,41,Vishrant Wadi,2
10752,Super built-up  Area,1718,3,119,Vishrant Wadi,3
10753,Super built-up  Area,1691,3,113,Vishrant Wadi,3
10754,Super built-up  Area,1020,2,49.87,Vishrant Wadi,1
10755,Built-up  Area,1645,3,95,Vishrant Wadi,3
10756,Super built-up  Area,1400,3,90,Vishrant Wadi,3
10757,Super built-up  Area,2350,4,163,Vishrant Wadi,3
10758,Plot  Area,1200,2,66,Vishrant Wadi,3
10759,Super built-up  Area,3400,4,235,Vishrant Wadi,4
10760,Super built-up  Area,700,2,35,Vishrant Wadi,2
10761,Super built-up  Area,1100,2,38,Vishrant Wadi,2
10762,Super built-up  Area,1706,3,115,Vishrant Wadi,3
10763,Super built-up  Area,1240,2,45.88,Vishrant Wadi,2
10764,Super built-up  Area,1085,2,50,Vishrant Wadi,2
10765,Built-up  Area,600,1,45,Vishrant Wadi,1
10766,Built-up  Area,664,1,34,Vishrant Wadi,1
10767,Super built-up  Area,1165,2,40.77,Vishrant Wadi,2
10768,Super built-up  Area,1090,2,37,Vishrant Wadi,2
10769,Super built-up  Area,1125,2,39.98,Vishrant Wadi,2
10770,Super built-up  Area,920,2,33,Vishrant Wadi,2
10771,Super built-up  Area,1205,2,68.32,Vishrant Wadi,2
10772,Plot  Area,1200,1,45,Vishrant Wadi,1
10773,Built-up  Area,1275,3,70,Vishrant Wadi,3
10774,Super built-up  Area,1075,2,53,Vishrant Wadi,2
10775,Super built-up  Area,1140,2,59,Vishrant Wadi,2
10776,Super built-up  Area,3800,5,170,Vishrant Wadi,4
10777,Super built-up  Area,1410,2,54,Vishrant Wadi,3
10778,Super built-up  Area,1490,2,59.6,Vishrant Wadi,3
10779,Super built-up  Area,1690,3,50,Vishrant Wadi,3
10780,Built-up  Area,1314,2,70.44,Vishrant Wadi,3
10781,Built-up  Area,1035,2,90,Vishrant Wadi,2
10782,Super built-up  Area,1555,3,73,Vishrant Wadi,3
10783,Super built-up  Area,1290,2,62,Vishrant Wadi,3
10784,Super built-up  Area,1050,2,55,Vishrant Wadi,2
10785,Built-up  Area,1165,2,33.65,Vishrant Wadi,2
10786,Built-up  Area,1105,2,57,Vishrant Wadi,2
10787,Super built-up  Area,1450,3,53.6,Vishrant Wadi,3
10788,Super built-up  Area,1360,2,45,Vishrant Wadi,3
10789,Super built-up  Area,1206,2,90,Vishrant Wadi,2
10790,Super built-up  Area,1255,2,53.57,Vishrant Wadi,2
10791,Built-up  Area,1650,3,48,Vishrant Wadi,3
10792,Super built-up  Area,1325,2,60,Vishrant Wadi,3
10793,Super built-up  Area,1533,3,75.885,Vishrant Wadi,3
10794,Super built-up  Area,1720,3,100,Vishrant Wadi,3
10795,Super built-up  Area,1783,3,85,Vishrant Wadi,3
10796,Super built-up  Area,1060,2,58.06,Wadgaon Sheri,2
10797,Super built-up  Area,1070,2,52,Wadgaon Sheri,2
10798,Built-up  Area,861,2,34.5,Wadgaon Sheri,2
10799,Super built-up  Area,1935,3,110,Wadgaon Sheri,3
10800,Super built-up  Area,1600,3,86,Wadgaon Sheri,3
10801,Super built-up  Area,1075,2,45,Wadgaon Sheri,3
10802,Super built-up  Area,1070,2,39,Wadgaon Sheri,2
10803,Super built-up  Area,1853,3,82,Wadgaon Sheri,3
10804,Super built-up  Area,1500,2,95,Wadgaon Sheri,3
10805,Super built-up  Area,1985,3,75,Wadgaon Sheri,3
10806,Built-up  Area,1384,3,62.28,Wadgaon Sheri,3
10807,Super built-up  Area,1265,2,85,Wadgaon Sheri,2
10808,Super built-up  Area,1015,2,45,Wadgaon Sheri,2
10809,Super built-up  Area,1291,2,49,Wadgaon Sheri,2
10810,Plot  Area,600,4,60,Wadgaon Sheri,6
10811,Built-up  Area,1100,2,50,Wadgaon Sheri,2
10812,Super built-up  Area,1167,2,39.98,Wadgaon Sheri,3
10813,Built-up  Area,1045,2,42,Wadgaon Sheri,2
10814,Super built-up  Area,1600,2,55,Wadgaon Sheri,3
10815,Built-up  Area,824,2,60,Wadgaon Sheri,2
10816,Super built-up  Area,630,1,47,Wadgaon Sheri,1
10817,Built-up  Area,540,1,36,Wadgaon Sheri,1
10818,Super built-up  Area,1100,2,52,Wadgaon Sheri,2
10819,Built-up  Area,1320,2,38.12,Wadgaon Sheri,3
10820,Built-up  Area,990,2,31.5,Wadgaon Sheri,2
10821,Super built-up  Area,693,1,34.3,Wadgaon Sheri,1
10822,Super built-up  Area,918,2,45,Wadgaon Sheri,2
10823,Plot  Area,1060,6,110,Wadgaon Sheri,6
10824,Built-up  Area,1160,2,33.5,Wadgaon Sheri,2
10825,Super built-up  Area,1250,3,71,Wadgaon Sheri,3
10826,Super built-up  Area,1100,3,53,Wadgaon Sheri,3
10827,Super built-up  Area,1070,2,46,Wadgaon Sheri,2
10828,Super built-up  Area,1150,2,52.8,Wadgaon Sheri,2
10829,Super built-up  Area,1500,2,80,Wadgaon Sheri,3
10830,Built-up  Area,1485,3,85,Wadgaon Sheri,3
10831,Super built-up  Area,2912,6,210,Wadgaon Sheri,4
10832,Built-up  Area,3500,4,245,Wadgaon Sheri,4
10833,Super built-up  Area,1302,2,69.1,Wadgaon Sheri,2
10834,Built-up  Area,1100,2,38,Wadgaon Sheri,2
10835,Super built-up  Area,1174,2,59,Wadgaon Sheri,2
10836,Plot  Area,3100,3,250,Wadgaon Sheri,3
10837,Super built-up  Area,1171,2,75,Wadgaon Sheri,2
10838,Super built-up  Area,1207,2,79.9,Wadgaon Sheri,2
10839,Plot  Area,880,6,75,Wadgaon Sheri,6
10840,Built-up  Area,1680,3,135,Wadgaon Sheri,4
10841,Super built-up  Area,1950,3,165,Wadgaon Sheri,3
10842,Super built-up  Area,1390,2,61.16,Wadgaon Sheri,3
10843,Super built-up  Area,1200,2,75,Wadgaon Sheri,3
10844,Super built-up  Area,500,1,31,Wadgaon Sheri,1
10845,Super built-up  Area,1175,2,69,Wadgaon Sheri,2
10846,Super built-up  Area,1160,2,33.5,Wadgaon Sheri,2
10847,Super built-up  Area,1175,2,39,Wadgaon Sheri,2
10848,Super built-up  Area,1233,2,100,Wadgaon Sheri,2
10849,Super built-up  Area,1187,2,37.85,Wadgaon Sheri,2
10850,Super built-up  Area,1776,2,75,Wadgaon Sheri,3
10851,Built-up  Area,1165,2,33.64,Wadgaon Sheri,2
10852,Built-up  Area,1250,2,45,Wadgaon Sheri,2
10853,Super built-up  Area,600,1,25,Wadgaon Sheri,2
10854,Super built-up  Area,2254,3,153,Wadgaon Sheri,3
10855,Super built-up  Area,1000,2,35,Wadgaon Sheri,2
10856,Super built-up  Area,1420,2,75,Wadgaon Sheri,3
10857,Built-up  Area,2500,7,125,Wadgaon Sheri,5
10858,Super built-up  Area,1460,2,100,Wadgaon Sheri,3
10859,Super built-up  Area,1350,3,55,Wadgaon Sheri,2
10860,Super built-up  Area,1500,1,60,Wadgaon Sheri,1
10861,Super built-up  Area,1100,2,60,Wadgaon Sheri,2
10862,Super built-up  Area,1464,3,56,Wadgaon Sheri,3
10863,Super built-up  Area,1920,3,150,Wadgaon Sheri,3
10864,Super built-up  Area,1450,3,100,Wadgaon Sheri,3
10865,Super built-up  Area,1498,3,79.15,Wadgaon Sheri,3
10866,Carpet  Area,1181.7,2,100,Wadgaon Sheri,2
10867,Super built-up  Area,1270,2,50.79,Wadgaon Sheri,3
10868,Super built-up  Area,1267,2,90.33,Wadgaon Sheri,2
10869,Super built-up  Area,1843,3,88,Wadgaon Sheri,3
10870,Plot  Area,600,1,58,Wadgaon Sheri,1
10871,Plot  Area,1200,5,90,Wadgaon Sheri,5
10872,Super built-up  Area,1101,2,66,Wadgaon Sheri,2
10873,Built-up  Area,1720,3,83,Wadgaon Sheri,3
10874,Built-up  Area,1336,2,86,Wadgaon Sheri,2
10875,Super built-up  Area,1703,3,130,Wadgaon Sheri,3
10876,Super built-up  Area,1290,2,89.9,Wadgaon Sheri,2
10877,Built-up  Area,1950,3,125,Wadgaon Sheri,3
10878,Built-up  Area,1900,3,90,Wadgaon Sheri,4
10879,Super built-up  Area,1278,3,70,Wadgaon Sheri,3
10880,Super built-up  Area,1135,2,58,Wadgaon Sheri,2
10881,Super built-up  Area,1113,2,70,Wadgaon Sheri,2
10882,Super built-up  Area,700,2,40,Wadgaon Sheri,2
10883,Built-up  Area,980,2,77.44,Wadgaon Sheri,2
10884,Super built-up  Area,1613,3,72,Wadgaon Sheri,3
10885,Super built-up  Area,1012,2,58,Wadgaon Sheri,2
10886,Built-up  Area,3913,5,176,Wadgaon Sheri,4
10887,Super built-up  Area,1201,2,65,Wadgaon Sheri,2
10888,Built-up  Area,3418,2,222,Wadgaon Sheri,4
10889,Super built-up  Area,1296,2,70,Wadgaon Sheri,2
10890,Super built-up  Area,1590,3,105,Wadgaon Sheri,3
10891,Plot  Area,2100,1,200,Wadgaon Sheri,2
10892,Super built-up  Area,1345,3,58,Wadgaon Sheri,3
10893,Plot  Area,4500,4,330,Wadgaon Sheri,4
10894,Built-up  Area,1025,2,29.6,Wadgaon Sheri,2
10895,Super built-up  Area,1550,3,96,Wadgaon Sheri,3
10896,Plot  Area,1995,3,100,Wadgaon Sheri,3
10897,Super built-up  Area,1447,3,76,Wadgaon Sheri,2
10898,Super built-up  Area,1560,3,78,Wadgaon Sheri,3
10899,Built-up  Area,1500,3,50,Wadgaon Sheri,3
10900,Super built-up  Area,750,2,40,Wadgaon Sheri,2
10901,Super built-up  Area,1396,3,74,Wadgaon Sheri,3
10902,Super built-up  Area,1100,2,50,Wadgaon Sheri,2
10903,Super built-up  Area,940,2,35,Wadgaon Sheri,2
10904,Built-up  Area,866,2,32,Wadgaon Sheri,2
10905,Super built-up  Area,1113,2,52,Wadgaon Sheri,2
10906,Super built-up  Area,1250,2,68.75,Wadgaon Sheri,2
10907,Super built-up  Area,1500,2,75,Wadgaon Sheri,3
10908,Super built-up  Area,1320,2,46,Wadgaon Sheri,3
10909,Super built-up  Area,1335,2,56,Wadgaon Sheri,3
10910,Super built-up  Area,1362,2,85,Wadgaon Sheri,2
10911,Super built-up  Area,1196,2,60,Wadgaon Sheri,2
10912,Plot  Area,1200,3,110,Wadgaon Sheri,3
10913,Super built-up  Area,1651,3,49.53,Wadgaon Sheri,3
10914,Super built-up  Area,1000,2,28.88,Wagholi,2
10915,Built-up  Area,1025,2,46,Wagholi,2
10916,Built-up  Area,1490,3,78.8,Wagholi,3
10917,Super built-up  Area,1400,3,77,Wagholi,3
10918,Super built-up  Area,1270,2,98,Wagholi,2
10919,Super built-up  Area,2100,3,125,Wagholi,3
10920,Super built-up  Area,1141,2,38.55,Wagholi,2
10921,Super built-up  Area,667,1,36.85,Wagholi,1
10922,Super built-up  Area,1090,2,27.24,Wagholi,2
10923,Super built-up  Area,1639,3,80,Wagholi,3
10924,Plot  Area,1200,3,66,Wagholi,3
10925,Super built-up  Area,775,2,38,Wagholi,2
10926,Super built-up  Area,1410,2,75,Wagholi,3
10927,Super built-up  Area,940,2,49,Wagholi,2
10928,Super built-up  Area,1455,3,46,Wagholi,3
10929,Super built-up  Area,1260,2,57.6,Wagholi,2
10930,Super built-up  Area,551,1,30,Wagholi,1
10931,Super built-up  Area,883,2,39,Wagholi,2
10932,Super built-up  Area,1150,2,63,Wagholi,2
10933,Super built-up  Area,1765,3,105,Wagholi,3
10934,Plot  Area,9600,5,550,Wagholi,5
10935,Super built-up  Area,1687,3,127,Wagholi,3
10936,Super built-up  Area,790.5,1,41.9,Wagholi,1
10937,Super built-up  Area,925,2,25,Wagholi,2
10938,Super built-up  Area,1120,2,43,Wagholi,2
10939,Super built-up  Area,1165,2,95,Wagholi,2
10940,Super built-up  Area,1372,2,61,Wagholi,2
10941,Plot  Area,1272,4,75,Wagholi,3
10942,Super built-up  Area,1455,3,61.5,Wagholi,3
10943,Super built-up  Area,1262,2,75,Wagholi,2
10944,Built-up  Area,1210,2,102,Wagholi,2
10945,Super built-up  Area,2912.5,6,125.5,Wagholi,4
10946,Super built-up  Area,1230,2,48,Wagholi,2
10947,Plot  Area,1200,3,67.75,Wagholi,3
10948,Super built-up  Area,1600,3,76,Wagholi,3
10949,Super built-up  Area,1868,3,135,Wagholi,3
10950,Built-up  Area,500,1,24,Wagholi,1
10951,Super built-up  Area,1315,2,59.1,Wagholi,3
10952,Super built-up  Area,1698,3,102,Wagholi,3
10953,Built-up  Area,1678,3,125,Wagholi,3
10954,Super built-up  Area,416,1,19.5,Wagholi,1
10955,Super built-up  Area,1190,2,39,Wagholi,2
10956,Super built-up  Area,1190,2,30.35,Wagholi,3
